Row   2 | [LCMP    ] LOADING COMPUTER                           | FUNC: MEASUREMENT INSTRUMENTS                  | MACH: LAODING COMPUTER                    | WISDOM_FUNC: ELECTRONIC EQUIPMENT
Row  15 | [FOHDAV1 ] F.O HOSE DAVIT NO.1                        | FUNC: DAVIT                                    | MACH: F.O HOSE DAVIT                      | WISDOM_FUNC: DAVIT
Row  16 | [FOHDAV2 ] F.O HOSE DAVIT NO.2                        | FUNC: DAVIT                                    | MACH: F.O HOSE DAVIT                      | WISDOM_FUNC: DAVIT
Row  17 | [MONHCR  ] MONORAIL HOIST CRANE                       | FUNC: CRANES                                   | MACH: MONORAIL HOIST CRANE                | WISDOM_FUNC: CRANES
Row  18 | [ALRP    ] ACCOMMOD.LADDER PORT                       | FUNC: LIFTING APPLIANCES, DERRICKS, LADDERS    | MACH: ACCOMMODATION LADDER                | WISDOM_FUNC: LIFTING APPLIANCES, DERRICKS, LADDERS
Row  19 | [ALRS    ] ACCOMMOD.LADDER SBRD                       | FUNC: LIFTING APPLIANCES, DERRICKS, LADDERS    | MACH: ACCOMMODATION LADDER                | WISDOM_FUNC: LIFTING APPLIANCES, DERRICKS, LADDERS
Row  20 | [LBDS    ] LIFE BOAT DAVIT SBRD                       | FUNC: LIFE BOAT DAVITS                         | MACH: LIFE BOAT DAVIT                     | WISDOM_FUNC: LIFE BOAT DAVITS
Row  21 | [LIFBP   ] LIFEBOAT STBD                              | FUNC: LIFE BOATS                               | MACH: LIFE BOAT                           | WISDOM_FUNC: LIFE BOATS
Row  22 | [PISLAD1 ] PILOT SLANT LADDER NO.1                    | FUNC: LIFTING APPLIANCES, DERRICKS, LADDERS    | MACH: PILOT LADDER                        | WISDOM_FUNC: LIFTING APPLIANCES, DERRICKS, LADDERS
Row  23 | [PISLAD2 ] PILOT SLANT LADDER NO.2                    | FUNC: LIFTING APPLIANCES, DERRICKS, LADDERS    | MACH: PILOT LADDER                        | WISDOM_FUNC: LIFTING APPLIANCES, DERRICKS, LADDERS
Row  24 | [CAHACOV ] CARGO HATCH COVER                          | FUNC: HOLDS                                    | MACH: CARGO HATCH COVER                   | WISDOM_FUNC: HOLDS
Row  25 | [LRSCBO  ] LIFE/ RESCUE BOAT                          | FUNC: LIFE BOATS                               | MACH: RESCUE BOAT                         | WISDOM_FUNC: LIFE BOATS
Row  26 | [LIFERA1 ] LIFERAFT NO.1                              | FUNC: LIFE RAFTS                               | MACH: LIFE RAFT                           | WISDOM_FUNC: LIFE RAFTS
Row  27 | [LIFERA2 ] LIFERAFT NO.2                              | FUNC: LIFE RAFTS                               | MACH: LIFE RAFT                           | WISDOM_FUNC: LIFE RAFTS
Row  28 | [LIFERA3 ] LIFERAFT NO.3                              | FUNC: LIFE RAFTS                               | MACH: LIFE RAFT                           | WISDOM_FUNC: LIFE RAFTS
Row  29 | [RESLFDAV] RESCUE AND LIFERAFT DAVIT                  | FUNC: LIFE BOAT DAVITS                         | MACH: RESCUE BOAT DAVIT                   | WISDOM_FUNC: LIFE BOAT DAVITS
Row  30 | [VBSSF   ] BOSUN STORE SUPP.FAN                       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  31 | [BTRSUPFA] BOW THRUSTER ROOM SUPPLY FAN               | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  32 | [CH1ARS1 ] NO.1 CARGO HOLD (1A) SUPPLY FAN (REVERSIBLE) NO.1 | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  33 | [CH1ARS2 ] NO.1 CARGO HOLD (1A) SUPPLY FAN (REVERSIBLE) NO.2 | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  34 | [CH1ASF1 ] NO.1 CARGO HOLD (1A) SUPPLY FAN NO.1       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  35 | [CH1ASF2 ] NO.1 CARGO HOLD (1A) SUPPLY FAN NO.2       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  36 | [CH2ASF1 ] NO.2 CARGO HOLD (2A) SUPPLY FAN NO.1       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  37 | [CH2ASF2 ] NO.2 CARGO HOLD (2A) SUPPLY FAN NO.2       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  38 | [CH2ASF3 ] NO.2 CARGO HOLD (2A) SUPPLY FAN NO.3       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  39 | [CH2ASF4 ] NO.2 CARGO HOLD (2A) SUPPLY FAN NO.4       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  40 | [CH2ASF5 ] NO.2 CARGO HOLD (2A) SUPPLY FAN NO.5       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  41 | [CH2ASF6 ] NO.2 CARGO HOLD (2A) SUPPLY FAN NO.6       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  42 | [CH2FRF1 ] NO.2 CARGO HOLD (2F) SUPPLY FAN (REVERSIBLE) NO.1 | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  43 | [CH2FRF2 ] NO.2 CARGO HOLD (2F) SUPPLY FAN (REVERSIBLE) NO.2 | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  44 | [CH2FRF3 ] NO.2 CARGO HOLD (2F) SUPPLY FAN (REVERSIBLE) NO.3 | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  45 | [CH2FSF1 ] NO.2 CARGO HOLD (2F) SUPPLY FAN NO.1       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
